Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.427,No regr out,All,ProtBERT,10,Lasso,80/20,-0.34795518960953076,0.12247243436383003
Rg norm w/0.427,No regr out,All,ProtBERT,10,Kernel Ridge,80/20,-0.07211029834077798,0.10922457327178642
Rg norm w/0.427,No regr out,All,ProtBERT,10,GPR,80/20,-4.865014497211267,0.2554672116105512
Rg norm w/0.427,No regr out,All,ProtBERT,10,Linear,85/15,-1.125531650565851,0.1401693384854381
Rg norm w/0.427,No regr out,All,ProtBERT,10,Ridge,85/15,-1.0064578726820792,0.13618656267000356
Rg norm w/0.427,No regr out,All,ProtBERT,10,Lasso,85/15,-0.2061742253912311,0.10559035682762029
Rg norm w/0.427,No regr out,All,ProtBERT,10,Kernel Ridge,85/15,0.019858988777097242,0.09518390459894494
Rg norm w/0.427,No regr out,All,ProtBERT,10,GPR,85/15,-4.537958934829076,0.22625287219336612
Rg norm w/0.427,No regr out,All,ProtBERT,10,Linear,90/10,-0.5660342249894663,0.11354999711575768
Rg norm w/0.427,No regr out,All,ProtBERT,10,Ridge,90/10,-0.4935069188364303,0.11088942266932378
Rg norm w/0.427,No regr out,All,ProtBERT,10,Lasso,90/10,-0.2113193959374866,0.09986558229000259
Rg norm w/0.427,No regr out,All,ProtBERT,10,Kernel Ridge,90/10,0.07408068813145208,0.0873118266292186
Rg norm w/0.427,No regr out,All,ProtBERT,10,GPR,90/10,-4.622381548071338,0.21515263049487715
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Linear,80/20,-0.3030102889630095,0.10633115712473051
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Ridge,80/20,-0.17848785419255364,0.10112282016999594
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Lasso,80/20,-0.18315052370509322,0.10132266815160305
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Kernel Ridge,80/20,-0.10236886245667831,0.0978025292913411
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,GPR,80/20,-1.9864063120764155,0.16097597526113366
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Linear,85/15,-0.2079829282621002,0.09501970419292997
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Ridge,85/15,-0.16098069096611778,0.09315277009968813
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Lasso,85/15,-0.13408640202042266,0.09206749932913373
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Kernel Ridge,85/15,0.03668474716972736,0.084853057173138
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,GPR,85/15,-2.86074402589195,0.16987081865506942
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Linear,90/10,-0.29881770397089413,0.09548184599672829
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Ridge,90/10,-0.2571825151262854,0.0939389870957313
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Lasso,90/10,-0.23669655281827784,0.09317046909076947
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Kernel Ridge,90/10,-0.1255084957718584,0.08888348937389412
