Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Linear,85/15,0.09438410981472178,0.07196351479305489
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Ridge,85/15,0.16116562600270057,0.06925935759986702
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Lasso,85/15,0.11171626684967517,0.07127155005223483
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,0.03759205799782517,0.07418565726056048
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,GPR,85/15,-0.11310056211749431,0.07978248342486298
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Linear,90/10,0.013124642229929928,0.0790324883319275
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Ridge,90/10,0.08323927876572945,0.07617325293514525
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Lasso,90/10,0.028415966130527326,0.0784178061597434
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,-0.10449419594735154,0.08360961478220533
Rg norm w/0.418,No regr out,Inliers,ProtBERT,high,10,GPR,90/10,-0.3200932070293536,0.09140644142668564
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Linear,80/20,0.07443621605405937,4.061657603744466
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Ridge,80/20,0.08579413356321697,4.0366596655762725
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Lasso,80/20,0.0783281194989629,4.0531091752907
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,0.8500630761927874,1.6347616140704295
Rg w/no norm,pH regr out,All,ProtBERT,high,10,GPR,80/20,0.8700144638591791,1.522115639164715
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Linear,85/15,0.045065056194079856,4.656904059650003
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Ridge,85/15,0.062469879740668754,4.614270098882246
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Lasso,85/15,0.05076041565094069,4.642996092718121
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.8630536229085572,1.7635414499428792
Rg w/no norm,pH regr out,All,ProtBERT,high,10,GPR,85/15,0.8858415016966199,1.6101432715947774
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Linear,90/10,0.0692786284234943,5.437938412914786
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Ridge,90/10,0.06863530928944972,5.439817452996377
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Lasso,90/10,0.06702516891370514,5.444517592209897
Rg w/no norm,pH regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.8980763012858076,1.7995421738268331
Rg w/no norm,pH regr out,All,ProtBERT,high,10,GPR,90/10,0.9211692272648032,1.5826042706600572
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Linear,80/20,0.3845679547399795,1.0730633087193622
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Ridge,80/20,0.42008749538583945,1.0416373140852833
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Lasso,80/20,0.39509129088291206,1.0638495419018001
Rg w/no norm,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,0.6044181255999773,0.8603070547700371
