Normalization,Regressing out,Points,Model,PCA Components,Regression Type,RMSE Score
Rg norm w/0.421,No regr out,Inliers,ProtBERT,10,Lasso,0.09649498894483724
Rg norm w/0.406,No regr out,Inliers,ProtBERT,50,Ridge,0.09658739264794239
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,50,Ridge,0.0965874646425625
Rg norm w/0.421,No regr out,Inliers,ProtBERT,10,Kernel Ridge,0.09659705752525828
Rg norm w/0.406,pH regr out,All,ProtBERT,10,Kernel Ridge,0.09712243440155938
Rg norm w/0.406,pH regr out,All,ProtBERT,100,Kernel Ridge,0.0972054949561243
Rg norm w/0.5,pH regr out,All,ProtBERT,50,Ridge,0.0972307582293499
Rg norm w/0.406,No regr out,All,ProtBERT,50,Ridge,0.09723277886671663
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,50,Kernel Ridge,0.09730580907109052
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,20,Linear,0.09750786982516751
Rg norm w/0.421,No regr out,Inliers,ProtBERT,20,Linear,0.09750860194559269
Rg norm w/0.406,pH regr out,All,ProtBERT,190,Kernel Ridge,0.09758626364515656
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,190,Linear,0.09760134345573143
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,10,Linear,0.09776205704456281
Rg norm w/0.421,No regr out,Inliers,ProtBERT,10,Linear,0.09776361320217525
Rg norm w/0.421,No regr out,Inliers,ProtBERT,190,GPR,0.09777430986784157
Rg norm w/0.406,No regr out,Inliers,ProtBERT,50,Kernel Ridge,0.09833193986170913
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,20,Kernel Ridge,0.09846130383756627
Rg norm w/0.421,pH regr out,All,ProtBERT,20,GPR,0.09914257815521582
Rg norm w/0.5,pH regr out,All,ProtBERT,20,Linear,0.09917790126315137
Rg norm w/0.406,No regr out,All,ProtBERT,20,Linear,0.09918125540985356
Rg norm w/0.5,buffer regr out,All,ProtBERT,20,Ridge,0.09924766021356574
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,50,Lasso,0.09959995979042835
Rg norm w/0.406,No regr out,Inliers,ProtBERT,50,Lasso,0.099601908712349
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,10,GPR,0.09987225099079958
Rg norm w/0.406,pH regr out,Inliers,ProtBERT,100,Lasso,0.10002445420229482
Rg norm w/0.406,No regr out,Inliers,ProtBERT,100,Lasso,0.10002604135108369
