Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,Lasso,90/10,-0.5579242682486505,0.0443011484776343,2
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,mid,100,Kernel Ridge,85/15,0.6683365389608134,0.0443072724578212,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,50,Kernel Ridge,90/10,-0.561218512343296,0.0443479613214873,2
Rg norm w/0.5,buffer regr out,All,ProtBERT,low,100,Kernel Ridge,90/10,0.3338097229617222,0.0444356088911518,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,mid,190,Linear,90/10,0.5947122083224408,0.0444587614128317,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,Ridge,85/15,0.5343708524450154,0.0444772196116034,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,190,Ridge,85/15,0.5343964799295134,0.0444775630707396,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,50,Lasso,90/10,-0.571254339611396,0.0444902718046809,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,50,Lasso,90/10,-0.5717554499094644,0.0444984634240205,2
Rg norm w/0.5,buffer regr out,All,ProtBERT,mid,10,Kernel Ridge,90/10,0.331838708049365,0.0445012947504977,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,190,GPR,85/15,0.5326164071732722,0.0445625041915747,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,50,Kernel Ridge,90/10,-0.5786868172610604,0.0445953734487883,2
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,mid,190,Linear,85/15,0.6615634426851422,0.0447573985457803,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,20,Ridge,90/10,-0.5973816352271497,0.044859752249072,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,20,Ridge,90/10,-0.5977755661054638,0.0448641766163571,2
Rg norm w/0.5,buffer regr out,All,ProtBERT,mid,190,GPR,90/10,0.3169233686756227,0.0449952536726715,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,100,Ridge,90/10,-0.6076444758892505,0.0450036287562727,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,Ridge,90/10,-0.6079993580668062,0.0450074854159307,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,10,Lasso,90/10,-0.6120182648522554,0.0450648060502223,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,10,Lasso,90/10,-0.6121968390619352,0.0450661903332046,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,50,Kernel Ridge,90/10,-0.6210783799941222,0.0451901539419176,2
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,high,10,GPR,90/10,0.2884219337130155,0.0453692955648519,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,50,Kernel Ridge,85/15,0.5151284591538607,0.0453869394691427,1
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,mid,100,Kernel Ridge,90/10,0.2952911278492871,0.0455008700723056,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,100,Kernel Ridge,85/15,0.51249762592086,0.0455099039328912,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,Kernel Ridge,80/20,0.4314191790349193,0.0455278143012334,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,20,GPR,90/10,0.4076051119459513,0.0455356223761063,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,10,Ridge,90/10,-0.6496839005831794,0.0455882472708021,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,10,Ridge,90/10,-0.650017628411272,0.0455917335647199,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,190,Kernel Ridge,85/15,0.5091954208197581,0.0456653888068695,1
Rg norm w/0.421,pH regr out,Inliers,ProtBERT,low,50,GPR,90/10,0.2789776798426843,0.0456693798425231,2
Rg norm w/0.5,buffer regr out,All,ProtBERT,low,10,Kernel Ridge,90/10,0.2960445878576818,0.045677735642706,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,100,Kernel Ridge,85/15,0.5064428026203218,0.0457932641728324,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,190,Ridge,85/15,0.5058068502558783,0.0458211423073739,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,190,Ridge,85/15,0.5058241950146682,0.0458219530369188,1
Rg norm w/0.5,buffer regr out,All,ProtBERT,low,190,Kernel Ridge,90/10,0.291020271143407,0.0458404528844631,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,100,Ridge,85/15,0.5051928847665206,0.0458495966351988,1
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,100,Ridge,85/15,0.5052102591248686,0.0458504074951612,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,50,GPR,90/10,0.3987967382584465,0.0458729098764857,1
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,Kernel Ridge,80/20,0.4214884672754507,0.0459236828083233,2
Rg norm w/0.5,buffer regr out,All,ProtBERT,mid,100,GPR,90/10,0.2880478502506038,0.0459364461811185,4
Rg norm w/0.5,buffer regr out,Inliers,ProtBERT,mid,100,Ridge,90/10,0.5666289522317108,0.0459732858819505,1
Rg norm w/0.5,buffer regr out,All,ProtBERT,mid,10,GPR,90/10,0.2853778837155812,0.0460225011215279,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,50,Ridge,90/10,-0.6844887865293048,0.0460666455571928,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,50,Ridge,90/10,-0.6847912170544235,0.0460696442700437,2
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,50,Kernel Ridge,90/10,-0.6861598170262473,0.0460894891904543,2
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,20,GPR,90/10,0.3924801600606939,0.0461132634459175,1
Rg norm w/0.5,buffer regr out,All,ProtBERT,mid,20,GPR,90/10,0.2795206541057721,0.0462107224536648,4
