Normalization,Regressing out,Points,Model,PCA Components,LayerGroup,Regression Type,mean_rmse,std_rmse,mean_r2,std_r2,runs
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,high,Ridge,0.06105591174594591,0.011372168957272983,0.15582134364326075,0.15451092734995597,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,mid,Kernel Ridge,0.06107200870342919,0.007773878996114149,0.14864715813316,0.10697116721083527,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,low,Lasso,0.061274918273235585,0.01111400251331482,0.15426072354702963,0.14645797579035985,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,high,Lasso,0.06127507466979146,0.010619217047029325,0.14775665691067638,0.14614563491310636,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,low,Lasso,0.061275085643690164,0.011115083969707376,0.15429320073168637,0.14646255696402954,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,high,Lasso,0.06127530291041928,0.010619791066392766,0.14778680609570571,0.14614149924652528,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,high,Linear,0.06130638028839925,0.011253924676580596,0.14399246752248082,0.17514630309787063,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,10,high,Linear,0.06130645674542768,0.011253549120764202,0.14395431982382076,0.17515341297069875,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,20,low,Ridge,0.061341831511521006,0.011195406344311714,0.1515565117916817,0.15275276176349495,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,low,Ridge,0.061342020760674486,0.011196470489715725,0.1515901524724307,0.15274935287959798,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,20,high,GPR,0.06166634572794757,0.009817324069030003,0.09953034606455641,0.2724209413221804,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,10,high,Kernel Ridge,0.06172070697276133,0.008321632574468746,0.118767006950242,0.19970811252474574,4
Rg norm w/0.5,No regr out,Inliers,ProtBERT,50,mid,Linear,0.06183672614964453,0.013549130214098254,0.07946863089707057,0.3968326612546253,4
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,50,mid,Linear,0.061838214844821486,0.013550056751945013,0.07938094721451294,0.39687684555123315,4
