Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed,Combined Score,_source_file
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,20,Ridge,85/15,0.3417835349383007,0.0394640608291277,3.0,0.998804920200504,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,20,GPR,90/10,0.570768940421559,0.0394950322707372,1.0,0.9991347403806368,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,Kernel Ridge,90/10,0.5690347824144533,0.0395747347831867,1.0,0.9991296389105676,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,190,GPR,90/10,0.5686439463103818,0.0395926755929873,1.0,0.99912848988766,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,Linear,90/10,0.5670611779433365,0.0396652474907213,1.0,0.999123839393886,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,190,Linear,90/10,0.5669589314649942,0.0396696058735665,1.0,0.9991235497133304,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,100,GPR,90/10,0.3320643423060364,0.0397669786053326,3.0,0.9987810118225215,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,GPR,90/10,0.5625867205379643,0.0398696923650703,1.0,0.9991107158068312,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,20,Ridge,85/15,0.3281591458703363,0.0398704133922381,3.0,0.9987720007278408,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,20,Ridge,85/15,0.3281482059308336,0.0398707258004063,3.0,0.9987719747466604,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,50,Lasso,90/10,0.327426692998745,0.0399047444470855,3.0,0.9987698242963275,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,50,Lasso,90/10,0.327419835021641,0.0399049994278365,3.0,0.9987698060830988,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,50,Kernel Ridge,90/10,0.3254162411132268,0.0399643414487289,3.0,0.9987649785139106,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,100,Ridge,90/10,0.3250534454815719,0.0399750865485278,3.0,0.998764104377598,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,Ridge,90/10,0.3250215917514367,0.0399760814647021,3.0,0.9987640259507208,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,mid,50,Ridge,90/10,0.3249403116746292,0.0399784366983983,3.0,0.9987638318070932,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,mid,50,Ridge,90/10,0.3249189554679148,0.0399791207030089,3.0,0.9987637786734642,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,190,Ridge,85/15,0.3243162749458822,0.0399842661978235,3.0,0.9987627403484026,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,high,190,Ridge,85/15,0.3243095192449999,0.0399844783258635,3.0,0.9987627236787142,all_rows_sorted_by_rmse.csv
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,100,Kernel Ridge,90/10,0.3239220999010909,0.0400085756457416,3.0,0.998761379065632,all_rows_sorted_by_rmse.csv
