Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.427,No regr out,Inliers,1,GPR,80/20,-8.588127604300071,0.2988877768739688
Rg norm w/0.427,No regr out,All,1,Linear,85/15,0.3445954372063975,0.26154884339087026
Rg norm w/0.427,No regr out,Inliers,1,Linear,85/15,-0.4699152706515102,0.09670178978586765
Rg norm w/0.427,No regr out,All,1,Ridge,85/15,0.0769505697097933,0.31039202401043897
Rg norm w/0.427,No regr out,Inliers,1,Ridge,85/15,-0.4128588855711526,0.09480642165055513
Rg norm w/0.427,No regr out,All,1,Lasso,85/15,0.07137430894926178,0.31132817143451663
Rg norm w/0.427,No regr out,Inliers,1,Lasso,85/15,-0.05175375189532616,0.08179851065232038
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,85/15,0.4780595535282841,0.23340413725123646
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,85/15,-10.614421942699238,0.2718236007562315
Rg norm w/0.427,No regr out,All,1,GPR,85/15,-0.4568860588200161,0.38995174429891594
Rg norm w/0.427,No regr out,Inliers,1,GPR,85/15,-10.231929841684346,0.2673102132512936
Rg norm w/0.427,No regr out,All,1,Linear,90/10,-5.537520817533613,0.18904773218380483
Rg norm w/0.427,No regr out,Inliers,1,Linear,90/10,-0.45292125784580195,0.09845528328768274
Rg norm w/0.427,No regr out,All,1,Ridge,90/10,-0.5704578852246214,0.09265696629696472
Rg norm w/0.427,No regr out,Inliers,1,Ridge,90/10,-0.38405034469133925,0.09609348210130743
Rg norm w/0.427,No regr out,All,1,Lasso,90/10,-0.49939275650414094,0.09053627744473539
Rg norm w/0.427,No regr out,Inliers,1,Lasso,90/10,0.004506839395323037,0.08149615655199646
Rg norm w/0.427,No regr out,All,1,Kernel Ridge,90/10,-10.672960547565335,0.2526128498538094
Rg norm w/0.427,No regr out,Inliers,1,Kernel Ridge,90/10,-10.53739234186645,0.27744175173287944
Rg norm w/0.427,No regr out,All,1,GPR,90/10,-20.89578594653013,0.34597538310865494
Rg norm w/0.427,No regr out,Inliers,1,GPR,90/10,-10.110899797215824,0.2722654932265651
Rg norm w/0.5,No regr out,All,1,Linear,80/20,0.3071953300972632,0.2515941740742977
Rg norm w/0.5,No regr out,Inliers,1,Linear,80/20,0.21686520686502064,0.06499954356929177
Rg norm w/0.5,No regr out,All,1,Ridge,80/20,0.07951447291451175,0.29000378045865804
Rg norm w/0.5,No regr out,Inliers,1,Ridge,80/20,0.23519661349562926,0.06423429302284052
