Normlaization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ESM-6,1,190,Ridge,90/10,-0.29339454881672933,1.3282130777043064
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Ridge,90/10,0.44013306569139,0.9674673668706858
Rg w/no norm,No regr out,All,ESM-6,1,190,Lasso,90/10,-0.5573878628841409,1.4574733816086913
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Lasso,90/10,0.5689370626546082,0.8489150978614062
Rg w/no norm,No regr out,All,ESM-6,1,190,Kernel Ridge,90/10,-0.12276049583611015,1.2375016900964566
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Kernel Ridge,90/10,0.4227912323807096,0.9823367127514964
Rg w/no norm,No regr out,All,ESM-6,1,190,GPR,90/10,0.1461659361751687,1.0791677974584437
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,GPR,90/10,-5.421263322547847,3.2764546066951383
Rg w/no norm,No regr out,All,ESM-6,1,100,Linear,80/20,-45.602672404136875,7.535509833218831
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Linear,80/20,-19.175271062326747,4.988329787256932
Rg w/no norm,No regr out,All,ESM-6,1,100,Ridge,80/20,-0.2971181010707846,1.2571786295367002
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Ridge,80/20,0.39597377524367305,0.8631243440345997
Rg w/no norm,No regr out,All,ESM-6,1,100,Lasso,80/20,-0.652959949726378,1.419182984557294
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Lasso,80/20,0.26242747496545094,0.9537791709362697
Rg w/no norm,No regr out,All,ESM-6,1,100,Kernel Ridge,80/20,-0.11775724601207305,1.167027196408954
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Kernel Ridge,80/20,0.4172281325680208,0.8478026268323985
Rg w/no norm,No regr out,All,ESM-6,1,100,GPR,80/20,-5.805317161819847,2.8795950288670693
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,GPR,80/20,-7.175218326981744,3.1753759300388236
Rg w/no norm,No regr out,All,ESM-6,1,100,Linear,85/15,-29.60146202316387,6.402860908371755
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Linear,85/15,-23.352474763724974,5.690888695320705
Rg w/no norm,No regr out,All,ESM-6,1,100,Ridge,85/15,-0.20666088892734558,1.271439201945695
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Ridge,85/15,0.32984567426360956,0.9440520795211398
Rg w/no norm,No regr out,All,ESM-6,1,100,Lasso,85/15,-0.6559351626212786,1.489445592782545
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Lasso,85/15,0.23914296645133637,1.005912188467346
Rg w/no norm,No regr out,All,ESM-6,1,100,Kernel Ridge,85/15,0.002352727154703138,1.1560895870061298
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Kernel Ridge,85/15,0.400556351809369,0.892858673715483
Rg w/no norm,No regr out,All,ESM-6,1,100,GPR,85/15,-5.0746580327019135,2.8527512017849825
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,GPR,85/15,-7.085453109238594,3.279145761973835
Rg w/no norm,No regr out,All,ESM-6,1,100,Linear,90/10,-8.843173529767204,3.6641210234601735
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Linear,90/10,-0.8963658102447571,1.7805532809058349
Rg w/no norm,No regr out,All,ESM-6,1,100,Ridge,90/10,-0.28570581684038343,1.3242593357239973
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Ridge,90/10,0.42049755328200344,0.9842865542766965
Rg w/no norm,No regr out,All,ESM-6,1,100,Lasso,90/10,-0.5573878628841409,1.4574733816086913
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Lasso,90/10,0.5689370626546082,0.8489150978614062
Rg w/no norm,No regr out,All,ESM-6,1,100,Kernel Ridge,90/10,-0.11819829273032956,1.2349849107173498
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Kernel Ridge,90/10,0.4072954987114138,0.9954352787365481
Rg w/no norm,No regr out,All,ESM-6,1,100,GPR,90/10,-4.933349888462357,2.844803139607257
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,GPR,90/10,-5.421263322404388,3.2764546066585387
Rg w/no norm,No regr out,All,ESM-6,1,50,Linear,80/20,-3.34484126095564,2.3008811548002575
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Linear,80/20,0.030451634057610977,1.0935287559299807
Rg w/no norm,No regr out,All,ESM-6,1,50,Ridge,80/20,-0.37268184170949326,1.2932788473007149
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Ridge,80/20,0.4099665641768534,0.8530682530019544
Rg w/no norm,No regr out,All,ESM-6,1,50,Lasso,80/20,-0.652959949726378,1.419182984557294
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Lasso,80/20,0.26242747496545094,0.9537791709362697
Rg w/no norm,No regr out,All,ESM-6,1,50,Kernel Ridge,80/20,-0.3597104168526699,1.2871537976057532
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Kernel Ridge,80/20,0.43071302780422305,0.8379364668058923
Rg w/no norm,No regr out,All,ESM-6,1,50,GPR,80/20,-5.805061199973958,2.8795408746394084
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,GPR,80/20,-7.1749590245798505,3.175325571192015
Rg w/no norm,No regr out,All,ESM-6,1,50,Linear,85/15,-1.2345158352277723,1.730193587040764
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Linear,85/15,0.1230154187479302,1.0799521652539081
Rg w/no norm,No regr out,All,ESM-6,1,50,Ridge,85/15,-0.2887650781682054,1.3139833415265676
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Ridge,85/15,0.35635556004562163,0.9251913242007945
Rg w/no norm,No regr out,All,ESM-6,1,50,Lasso,85/15,-0.6559351626212786,1.489445592782545
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Lasso,85/15,0.23914296645133637,1.005912188467346
Rg w/no norm,No regr out,All,ESM-6,1,50,Kernel Ridge,85/15,-0.05325793586989036,1.187873926090677
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Kernel Ridge,85/15,0.4152656997993718,0.8818360024037023
Rg w/no norm,No regr out,All,ESM-6,1,50,GPR,85/15,-5.074657559582773,2.852751090693032
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,GPR,85/15,-7.0851353310477325,3.2790813220944224
Rg w/no norm,No regr out,All,ESM-6,1,50,Linear,90/10,-0.8959996800453904,1.608130795765666
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Linear,90/10,0.5268336908804921,0.8894075720553325
Rg w/no norm,No regr out,All,ESM-6,1,50,Ridge,90/10,-0.41506856637493894,1.3892838296811134
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Ridge,90/10,0.5767533291505351,0.8411833946483489
Rg w/no norm,No regr out,All,ESM-6,1,50,Lasso,90/10,-0.5573878628841409,1.4574733816086913
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Lasso,90/10,0.6043193550434607,0.8133291147250027
Rg w/no norm,No regr out,All,ESM-6,1,50,Kernel Ridge,90/10,-0.2259636441606383,1.2931265679977395
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,Kernel Ridge,90/10,0.4617032689708196,0.9486473257488912
Rg w/no norm,No regr out,All,ESM-6,1,50,GPR,90/10,-4.933349179185177,2.844802969572281
Rg w/no norm,No regr out,Inliers,ESM-6,1,50,GPR,90/10,-5.421263322397638,3.2764546066568165
Rg w/no norm,No regr out,All,ESM-6,1,20,Linear,80/20,-1.5175738942648378,1.7514524180711368
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Linear,80/20,0.20894582043175736,0.9877535138054505
Rg w/no norm,No regr out,All,ESM-6,1,20,Ridge,80/20,-0.5185556041765578,1.3602620425322127
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Ridge,80/20,0.2636297555148306,0.9530014997332173
Rg w/no norm,No regr out,All,ESM-6,1,20,Lasso,80/20,-0.652959949726378,1.419182984557294
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Lasso,80/20,0.29057390823687756,0.9354036218801294
Rg w/no norm,No regr out,All,ESM-6,1,20,Kernel Ridge,80/20,-0.3573822600451648,1.2860513644304592
Rg w/no norm,No regr out,Inliers,ESM-6,1,20,Kernel Ridge,80/20,0.3613622198256361,0.887509012454888
Rg w/no norm,No regr out,All,ESM-6,1,20,GPR,80/20,-5.8054270495832325,2.8796182776718116
