Normalization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.406,No regr out,All,1,GPR,90/10,-13.21409686406786,0.27550119709590126
Rg norm w/0.406,No regr out,Inliers,1,GPR,90/10,-1.834362798506826,0.1869974727546665
Rg w/no norm,pH regr out,All,1,Linear,80/20,0.4892498200727977,1.8369289207073838
Rg w/no norm,pH regr out,Inliers,1,Linear,80/20,0.7057620479310114,0.9583270554621646
Rg w/no norm,pH regr out,All,1,Ridge,80/20,0.4151842162353845,1.9656112554116763
Rg w/no norm,pH regr out,Inliers,1,Ridge,80/20,0.7057326035666986,0.9583750041119944
Rg w/no norm,pH regr out,All,1,Lasso,80/20,0.40392079575103146,1.9844495978187557
Rg w/no norm,pH regr out,Inliers,1,Lasso,80/20,0.7052267793859106,0.959198338798959
Rg w/no norm,pH regr out,All,1,Kernel Ridge,80/20,0.40976252665986335,1.9747015952232476
Rg w/no norm,pH regr out,Inliers,1,Kernel Ridge,80/20,0.6909504423172215,0.9821514630145817
Rg w/no norm,pH regr out,All,1,GPR,80/20,0.6836585152685973,1.445659990837764
Rg w/no norm,pH regr out,Inliers,1,GPR,80/20,0.2847692991184937,1.4941268792428903
Rg w/no norm,pH regr out,All,1,Linear,85/15,0.46359946550212616,2.073848005105301
Rg w/no norm,pH regr out,Inliers,1,Linear,85/15,0.7604812705866527,0.8245321293506942
Rg w/no norm,pH regr out,All,1,Ridge,85/15,0.38855062307151145,2.21417822608969
Rg w/no norm,pH regr out,Inliers,1,Ridge,85/15,0.7589294173035565,0.8271989082933869
Rg w/no norm,pH regr out,All,1,Lasso,85/15,0.37295086300836566,2.242245233632254
Rg w/no norm,pH regr out,Inliers,1,Lasso,85/15,0.7235751675206009,0.8857810221765537
Rg w/no norm,pH regr out,All,1,Kernel Ridge,85/15,0.38323411362159865,2.2237834542778505
Rg w/no norm,pH regr out,Inliers,1,Kernel Ridge,85/15,0.775777339339361,0.7977698050862586
Rg w/no norm,pH regr out,All,1,GPR,85/15,0.6792129914621459,1.6037649140163754
Rg w/no norm,pH regr out,Inliers,1,GPR,85/15,0.4798343411067988,1.2150906589061417
Rg w/no norm,pH regr out,All,1,Linear,90/10,0.503469005301503,1.0980979269626685
Rg w/no norm,pH regr out,Inliers,1,Linear,90/10,0.784661146912999,0.6608432129111236
Rg w/no norm,pH regr out,All,1,Ridge,90/10,0.6657600559048693,0.9009424806161169
Rg w/no norm,pH regr out,Inliers,1,Ridge,90/10,0.7831652553730344,0.6631345758215661
Rg w/no norm,pH regr out,All,1,Lasso,90/10,0.6741556040234089,0.8895554361921907
Rg w/no norm,pH regr out,Inliers,1,Lasso,90/10,0.7817019011022929,0.6653684638427918
Rg w/no norm,pH regr out,All,1,Kernel Ridge,90/10,0.6620990725934024,0.9058631263579492
Rg w/no norm,pH regr out,Inliers,1,Kernel Ridge,90/10,0.826087069957719,0.5938861157825148
Rg w/no norm,pH regr out,All,1,GPR,90/10,-0.3804907473463943,1.8309843827448942
Rg w/no norm,pH regr out,Inliers,1,GPR,90/10,0.3435019458538232,1.1538622305048503
Rg norm w/0.421,pH regr out,All,1,Linear,80/20,0.025393629691557562,0.13787479279473366
Rg norm w/0.421,pH regr out,Inliers,1,Linear,80/20,0.35499339309185773,0.09208151321648583
Rg norm w/0.421,pH regr out,All,1,Ridge,80/20,0.023779053653560478,0.13798895027596866
Rg norm w/0.421,pH regr out,Inliers,1,Ridge,80/20,0.3548947971947688,0.09208855075097067
Rg norm w/0.421,pH regr out,All,1,Lasso,80/20,-0.002586693514292193,0.13983993649004672
Rg norm w/0.421,pH regr out,Inliers,1,Lasso,80/20,0.22117022060618552,0.1011839526006508
Rg norm w/0.421,pH regr out,All,1,Kernel Ridge,80/20,0.07919492438728415,0.1340152133740841
Rg norm w/0.421,pH regr out,Inliers,1,Kernel Ridge,80/20,0.29916871655902477,0.09598361569970776
Rg norm w/0.421,pH regr out,All,1,GPR,80/20,0.23076948561485422,0.12248939844968436
Rg norm w/0.421,pH regr out,Inliers,1,GPR,80/20,-0.014175672389739047,0.11546409617712969
Rg norm w/0.421,pH regr out,All,1,Linear,85/15,0.039718387654111065,0.15029372299797175
Rg norm w/0.421,pH regr out,Inliers,1,Linear,85/15,0.3591344959724778,0.09264817942330217
Rg norm w/0.421,pH regr out,All,1,Ridge,85/15,0.06811962883397993,0.14805450212548144
Rg norm w/0.421,pH regr out,Inliers,1,Ridge,85/15,0.35725556929071145,0.09278389567586595
Rg norm w/0.421,pH regr out,All,1,Lasso,85/15,0.04086911367182433,0.1502036459113714
Rg norm w/0.421,pH regr out,Inliers,1,Lasso,85/15,0.34859026464271103,0.0934072453066194
Rg norm w/0.421,pH regr out,All,1,Kernel Ridge,85/15,0.06048374369559173,0.14865984844731275
Rg norm w/0.421,pH regr out,Inliers,1,Kernel Ridge,85/15,0.4354962824436738,0.08695345545001254
Rg norm w/0.421,pH regr out,All,1,GPR,85/15,0.19430478506394133,0.13766607435663755
Rg norm w/0.421,pH regr out,Inliers,1,GPR,85/15,0.03431750901312269,0.11372884290001771
Rg norm w/0.421,pH regr out,All,1,Linear,90/10,-0.44149669528358704,0.12423932710145279
Rg norm w/0.421,pH regr out,Inliers,1,Linear,90/10,0.3275744811901401,0.08492926384868088
Rg norm w/0.421,pH regr out,All,1,Ridge,90/10,-0.12473610024602255,0.10974319058285908
Rg norm w/0.421,pH regr out,Inliers,1,Ridge,90/10,0.20933676655231004,0.09209393680145624
Rg norm w/0.421,pH regr out,All,1,Lasso,90/10,-0.2082766526626132,0.11374582287013402
Rg norm w/0.421,pH regr out,Inliers,1,Lasso,90/10,0.2195864011996269,0.09149506722335556
Rg norm w/0.421,pH regr out,All,1,Kernel Ridge,90/10,-0.02732436923789927,0.10488323158927168
Rg norm w/0.421,pH regr out,Inliers,1,Kernel Ridge,90/10,0.45922725008497056,0.0761627586186164
Rg norm w/0.421,pH regr out,All,1,GPR,90/10,-0.7791984003596244,0.13802712901960995
Rg norm w/0.421,pH regr out,Inliers,1,GPR,90/10,0.12076539710245504,0.0971152991332143
Rg norm w/0.5,pH regr out,All,1,Linear,80/20,0.01599243541231321,0.08939201768280709
Rg norm w/0.5,pH regr out,Inliers,1,Linear,80/20,0.4127887703918084,0.06121588804046398
Rg norm w/0.5,pH regr out,All,1,Ridge,80/20,0.09773708955401295,0.08559848415460207
Rg norm w/0.5,pH regr out,Inliers,1,Ridge,80/20,0.41235786913067596,0.06123834432594916
Rg norm w/0.5,pH regr out,All,1,Lasso,80/20,-0.0013788366591500623,0.09017761100016068
Rg norm w/0.5,pH regr out,Inliers,1,Lasso,80/20,0.39495500330430955,0.06213850709168502
Rg norm w/0.5,pH regr out,All,1,Kernel Ridge,80/20,0.0572363776976903,0.08749856480575051
Rg norm w/0.5,pH regr out,Inliers,1,Kernel Ridge,80/20,0.3394453052409959,0.06492640697572273
Rg norm w/0.5,pH regr out,All,1,GPR,80/20,0.03776262379003559,0.08839763224666998
Rg norm w/0.5,pH regr out,Inliers,1,GPR,80/20,-0.006142786049056603,0.08013030333273184
Rg norm w/0.5,pH regr out,All,1,Linear,85/15,0.04299798219007167,0.09675117505238745
Rg norm w/0.5,pH regr out,Inliers,1,Linear,85/15,0.4355759689984279,0.062362841444846454
Rg norm w/0.5,pH regr out,All,1,Ridge,85/15,0.09906233160777866,0.0938744043090528
Rg norm w/0.5,pH regr out,Inliers,1,Ridge,85/15,0.4280598779583087,0.06277669223918989
Rg norm w/0.5,pH regr out,All,1,Lasso,85/15,0.04560053955342658,0.09661952856484035
Rg norm w/0.5,pH regr out,Inliers,1,Lasso,85/15,0.42021410332344733,0.06320580547291023
Rg norm w/0.5,pH regr out,All,1,Kernel Ridge,85/15,0.04242017865561354,0.0967803780918437
Rg norm w/0.5,pH regr out,Inliers,1,Kernel Ridge,85/15,0.4593104631015136,0.06103755511786814
Rg norm w/0.5,pH regr out,All,1,GPR,85/15,-0.008674798544358486,0.09932884983657699
Rg norm w/0.5,pH regr out,Inliers,1,GPR,85/15,0.013566429008898262,0.08244362301728694
Rg norm w/0.5,pH regr out,All,1,Linear,90/10,-0.24619192794241251,0.081576675733757
Rg norm w/0.5,pH regr out,Inliers,1,Linear,90/10,0.4166260914483919,0.05611035990480133
Rg norm w/0.5,pH regr out,All,1,Ridge,90/10,-0.046012100904814446,0.0747380721612629
Rg norm w/0.5,pH regr out,Inliers,1,Ridge,90/10,0.2862559032296228,0.06206415092423471
Rg norm w/0.5,pH regr out,All,1,Lasso,90/10,-0.15165813071548673,0.07842153266452041
Rg norm w/0.5,pH regr out,Inliers,1,Lasso,90/10,0.3989257940730252,0.05695522860789141
Rg norm w/0.5,pH regr out,All,1,Kernel Ridge,90/10,-0.0017443699282406744,0.07313950082483979
Rg norm w/0.5,pH regr out,Inliers,1,Kernel Ridge,90/10,0.505603403741761,0.051654396249741816
Rg norm w/0.5,pH regr out,All,1,GPR,90/10,-0.775336976750779,0.09736748137467705
Rg norm w/0.5,pH regr out,Inliers,1,GPR,90/10,0.12446789194460006,0.0687393771103313
Rg norm w/0.406,pH regr out,All,1,Linear,80/20,0.038222631536373064,0.1498011818794019
Rg norm w/0.406,pH regr out,Inliers,1,Linear,80/20,0.3530441248032201,0.09947835035469077
Rg norm w/0.406,pH regr out,All,1,Ridge,80/20,0.022873977781514454,0.15099176184784743
Rg norm w/0.406,pH regr out,Inliers,1,Ridge,80/20,0.35294595116595506,0.09948589784084078
Rg norm w/0.406,pH regr out,All,1,Lasso,80/20,-0.002745971789843482,0.1529584331040683
Rg norm w/0.406,pH regr out,Inliers,1,Lasso,80/20,0.34146232137183574,0.1003648311734545
Rg norm w/0.406,pH regr out,All,1,Kernel Ridge,80/20,0.0833186476259854,0.14624706579945065
Rg norm w/0.406,pH regr out,Inliers,1,Kernel Ridge,80/20,0.29790874371309695,0.10363060328521972
Rg norm w/0.406,pH regr out,All,1,GPR,80/20,0.26663531277108765,0.13080910075251234
Rg norm w/0.406,pH regr out,Inliers,1,GPR,80/20,-0.010019794805118387,0.12429572356678106
Rg norm w/0.406,pH regr out,All,1,Linear,85/15,0.049311462498795366,0.163529380240421
Rg norm w/0.406,pH regr out,Inliers,1,Linear,85/15,0.3533382967654263,0.09980732407438124
Rg norm w/0.406,pH regr out,All,1,Ridge,85/15,0.06843236932818231,0.16187651903141426
Rg norm w/0.406,pH regr out,Inliers,1,Ridge,85/15,0.35146050002953977,0.09995213086139912
Rg norm w/0.406,pH regr out,All,1,Lasso,85/15,0.0412409317681981,0.16422202548438436
Rg norm w/0.406,pH regr out,Inliers,1,Lasso,85/15,0.3435627302724259,0.10055888662422474
Rg norm w/0.406,pH regr out,All,1,Kernel Ridge,85/15,0.06415473298557861,0.16224775122609533
Rg norm w/0.406,pH regr out,Inliers,1,Kernel Ridge,85/15,0.436240359590495,0.09319032616174674
Rg norm w/0.406,pH regr out,All,1,GPR,85/15,0.23197748058618028,0.146981826237089
Rg norm w/0.406,pH regr out,Inliers,1,GPR,85/15,0.04496632707831427,0.12129228652963732
Rg norm w/0.406,pH regr out,All,1,Linear,90/10,-0.4614846681658411,0.134383450287
Rg norm w/0.406,pH regr out,Inliers,1,Linear,90/10,0.318650346681439,0.09168280277047078
Rg norm w/0.406,pH regr out,All,1,Ridge,90/10,-0.12687117366148737,0.11800102784317579
Rg norm w/0.406,pH regr out,Inliers,1,Ridge,90/10,0.20492158714342223,0.09903936399302352
Rg norm w/0.406,pH regr out,All,1,Lasso,90/10,-0.20156404003835804,0.1218490413606071
Rg norm w/0.406,pH regr out,Inliers,1,Lasso,90/10,0.3072420997128543,0.09244716665116394
