Normalization,Regressing out,Points,Model,PCA Components,Regression Type,RMSE Score
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,190,Linear,0.1049754852536255
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,190,GPR,0.10543977188535085
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,20,Ridge,0.10555098153517584
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,20,GPR,0.10567252775844793
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,100,Kernel Ridge,0.10567813060761154
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,100,GPR,0.1057031027296947
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,50,GPR,0.10572577438925233
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,190,Ridge,0.1057651451480142
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,10,GPR,0.10598188480190646
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,100,Lasso,0.10602622947277424
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,190,Lasso,0.10610755462167802
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,100,Ridge,0.10647269653100587
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,20,Lasso,0.10671604066798056
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,50,Lasso,0.10683620657981631
Rg norm w/0.427,buffer regr out,Inliers,ProtBERT,10,Ridge,0.10754858534045279
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,20,Kernel Ridge,0.1076935575656377
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,50,Ridge,0.10775157590414706
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,10,Lasso,0.10880786910383532
Rg norm w/0.5,buffer regr out,All,ProtBERT,10,Lasso,0.10919559664728053
Rg norm w/0.5,buffer regr out,All,ProtBERT,20,Lasso,0.109195597895639
Rg norm w/0.418,buffer regr out,Inliers,ProtBERT,10,Kernel Ridge,0.10924567631479894
