Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed
Rg w/no norm,buffer regr out,All,ProtBERT,20,Linear,80/20,-0.2843253223773712,1.5854884027947531,2
Rg w/no norm,No regr out,All,ProtBERT,10,Kernel Ridge,90/10,0.2317490822148116,1.586056785758883,4
Rg w/no norm,expr buffer only regr out,Inliers,ProtBERT,100,Kernel Ridge,80/20,0.3145206725704625,1.586237521234548,1
Rg w/no norm,No regr out,All,ProtBERT,50,Kernel Ridge,80/20,0.5494215851576252,1.5864792378565744,1
Rg w/no norm,expr pH only regr out,Inliers,ProtBERT,50,Ridge,85/15,0.4723429570915614,1.5870198552357242,2
Rg w/no norm,pH regr out,All,ProtBERT,190,GPR,85/15,-0.0606281417001779,1.5875956433172969,2
Rg w/no norm,buffer regr out,All,ProtBERT,190,Ridge,90/10,-0.7447071630671,1.5876528051717775,3
Rg w/no norm,pH regr out,All,ProtBERT,10,Ridge,85/15,-0.0609667896744259,1.5878490748069929,2
Rg w/no norm,No regr out,All,ProtBERT,10,Ridge,85/15,-0.0610044960415396,1.5879167737274278,2
Rg w/no norm,buffer regr out,All,ProtBERT,20,Ridge,85/15,-0.1795571158568409,1.588533473962578,2
Rg w/no norm,expr buffer only regr out,Inliers,ProtBERT,50,Kernel Ridge,85/15,0.3851243646077497,1.5887126645219187,2
Rg w/no norm,pH regr out,All,ProtBERT,100,Kernel Ridge,90/10,0.2290700986252805,1.588885786411253,4
Rg w/no norm,No regr out,All,ProtBERT,20,GPR,85/15,-0.3871524346243056,1.5892376230546688,1
Rg w/no norm,expr buffer only regr out,Inliers,ProtBERT,50,Ridge,90/10,0.3044269571048476,1.5894746704404166,2
Rg w/no norm,expr buffer only regr out,Inliers,ProtBERT,20,Kernel Ridge,80/20,0.2816406393484846,1.5898798663983715,3
Rg w/no norm,expr buffer only regr out,Inliers,ProtBERT,50,Linear,85/15,0.3638687190644344,1.5904108895810685,4
Rg w/no norm,expr buffer only regr out,Inliers,ProtBERT,190,Ridge,85/15,0.2999558504863578,1.5915213099511265,3
Rg w/no norm,expr buffer only regr out,Inliers,ProtBERT,50,Kernel Ridge,85/15,0.2996403964398915,1.5918798554026332,3
Rg w/no norm,expr pH only regr out,Inliers,ProtBERT,100,GPR,90/10,0.3010429825197213,1.592421941872046,1
Rg w/no norm,No regr out,All,ProtBERT,190,Kernel Ridge,80/20,-0.1467006759461435,1.5934823086674486,2
