Normalization,Regressing out,Points,Model,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Linear,80/20,0.22523530485381427,1.197517549443463
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Ridge,80/20,0.5778084044322865,0.8839989869647915
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Lasso,80/20,0.24544866366555929,1.181792887168961
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Kernel Ridge,80/20,0.5240675949658525,0.9385763642852678
Rg w/no norm,No regr out,Inliers,ProtBERT,190,GPR,80/20,0.43262141529324905,1.024786617250945
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Linear,85/15,0.3397990513963606,1.171067077013693
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Ridge,85/15,0.7158180434220686,0.7683196659396523
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Lasso,85/15,0.5966366997674966,0.9153599155658566
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Kernel Ridge,85/15,0.720241752689633,0.7623161994545377
Rg w/no norm,No regr out,Inliers,ProtBERT,190,GPR,85/15,0.6617910186889251,0.8381780195996836
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Linear,90/10,0.15340347396811194,1.3659574116595787
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Ridge,90/10,0.6337968810755576,0.8983797153369434
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Lasso,90/10,0.4693614382506467,1.08142977175126
Rg w/no norm,No regr out,Inliers,ProtBERT,190,Kernel Ridge,90/10,0.6306859957922444,0.9021875009951057
Rg w/no norm,No regr out,Inliers,ProtBERT,190,GPR,90/10,0.569111318685062,0.9744991417900009
Rg norm w/0.427,No regr out,All,ProtBERT,10,Linear,80/20,-0.057514602194211895,0.4732166089078153
Rg norm w/0.427,No regr out,All,ProtBERT,10,Ridge,80/20,-0.05256489462914837,0.4721078625000831
Rg norm w/0.427,No regr out,All,ProtBERT,10,Lasso,80/20,-0.003095979768635626,0.460880186060483
Rg norm w/0.427,No regr out,All,ProtBERT,10,Kernel Ridge,80/20,-0.007409588497349295,0.4618700833928546
Rg norm w/0.427,No regr out,All,ProtBERT,10,GPR,80/20,-0.1601891105272517,0.49565693279417705
Rg norm w/0.427,No regr out,All,ProtBERT,10,Linear,85/15,-2.6317769052626634,0.15978146406947483
Rg norm w/0.427,No regr out,All,ProtBERT,10,Ridge,85/15,-2.2769657206530294,0.15177588159080196
Rg norm w/0.427,No regr out,All,ProtBERT,10,Lasso,85/15,-0.3422896845278838,0.09713817532599009
Rg norm w/0.427,No regr out,All,ProtBERT,10,Kernel Ridge,85/15,-0.04550398876357975,0.0857293758738021
Rg norm w/0.427,No regr out,All,ProtBERT,10,GPR,85/15,-5.051123212541215,0.2062456573846819
Rg norm w/0.427,No regr out,All,ProtBERT,10,Linear,90/10,-2.444006377465241,0.14246259544336912
Rg norm w/0.427,No regr out,All,ProtBERT,10,Ridge,90/10,-2.2274750734553566,0.1379114507869893
Rg norm w/0.427,No regr out,All,ProtBERT,10,Lasso,90/10,-0.6014048872481979,0.09714477652150612
Rg norm w/0.427,No regr out,All,ProtBERT,10,Kernel Ridge,90/10,-0.08647702460666218,0.08001642652008044
Rg norm w/0.427,No regr out,All,ProtBERT,10,GPR,90/10,-5.3833994064880635,0.19395227950444166
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Linear,80/20,-0.12795215649157576,0.09255057998927115
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Ridge,80/20,-0.1104092473704883,0.09182804538541754
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Lasso,80/20,-0.09763887086395884,0.09129847942907239
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,Kernel Ridge,80/20,0.004983725045240361,0.08692584025623686
Rg norm w/0.427,No regr out,Inliers,ProtBERT,10,GPR,80/20,-1.6906245547447445,0.1429421650843531
