Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.418,expr pH only regr out,All,-1,Lasso,90/10,0.34438962118607563,0.11651545738129888
Rg norm w/0.418,expr pH only regr out,All,-1,Kernel Ridge,90/10,0.36627613415763927,0.11455410739815011
Rg norm w/0.418,expr pH only regr out,All,-1,GPR,90/10,-0.041788342489072594,0.14687584593569047
Rg w/no norm,expr buffer only regr out,All,-1,Linear,80/20,-5668615870.3286705,235029.79632029205
Rg w/no norm,expr buffer only regr out,All,-1,Ridge,80/20,0.39347171881542686,2.4311398268702535
Rg w/no norm,expr buffer only regr out,All,-1,Lasso,80/20,0.3944433717113829,2.429191714184843
Rg w/no norm,expr buffer only regr out,All,-1,Kernel Ridge,80/20,0.3862912278305719,2.445488222038216
Rg w/no norm,expr buffer only regr out,All,-1,GPR,80/20,0.1415402747944582,2.8923068923041098
Rg w/no norm,expr buffer only regr out,All,-1,Linear,85/15,-5790406962.513453,247152.19936757177
Rg w/no norm,expr buffer only regr out,All,-1,Ridge,85/15,0.45883784283449536,2.389316295991916
Rg w/no norm,expr buffer only regr out,All,-1,Lasso,85/15,0.4864082080900295,2.3276569408207437
Rg w/no norm,expr buffer only regr out,All,-1,Kernel Ridge,85/15,0.4494206778550808,2.41001576716658
Rg w/no norm,expr buffer only regr out,All,-1,GPR,85/15,0.21531794150555572,2.8771121885722573
Rg w/no norm,expr buffer only regr out,All,-1,Linear,90/10,-18497709977.80369,250478.61443503873
Rg w/no norm,expr buffer only regr out,All,-1,Ridge,90/10,0.4116678788664284,1.412612189085629
Rg w/no norm,expr buffer only regr out,All,-1,Lasso,90/10,0.3964620047756342,1.4307507334959086
Rg w/no norm,expr buffer only regr out,All,-1,Kernel Ridge,90/10,0.48412947959773633,1.3227629578592295
Rg w/no norm,expr buffer only regr out,All,-1,GPR,90/10,0.12899766857071393,1.7187841020407129
Rg norm w/0.427,expr buffer only regr out,All,-1,Linear,80/20,-10924376419.168303,34301.055680793324
