Normlaization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,GPR,90/10,-10.008454911520532,3.4586757814095663
Rg w/no norm,No regr out,All,ESM-6,1,100,Linear,80/20,-0.789368413216796,3.5540260180159895
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Linear,80/20,-0.5693573504845186,1.4362807764289478
Rg w/no norm,No regr out,All,ESM-6,1,100,Ridge,80/20,0.6942061962782997,1.4692140066862769
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Ridge,80/20,0.7025194959761134,0.6253277176213958
Rg w/no norm,No regr out,All,ESM-6,1,100,Lasso,80/20,0.6522686461828704,1.5667245372084675
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Lasso,80/20,0.6713058535223726,0.6573163120036023
Rg w/no norm,No regr out,All,ESM-6,1,100,Kernel Ridge,80/20,0.5882545772016681,1.7048458214553808
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Kernel Ridge,80/20,0.6366141093291411,0.6911343132731003
Rg w/no norm,No regr out,All,ESM-6,1,100,GPR,80/20,-0.6197068508302295,3.3813406770538195
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,GPR,80/20,-9.173599636692128,3.6569224131206557
Rg w/no norm,No regr out,All,ESM-6,1,100,Linear,85/15,-1.2155872375840526,4.309863403098737
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Linear,85/15,-0.45432960640064324,1.3500756963153153
Rg w/no norm,No regr out,All,ESM-6,1,100,Ridge,85/15,0.4814733042047523,2.084993179698427
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Ridge,85/15,0.5885743133468759,0.7180792841222834
Rg w/no norm,No regr out,All,ESM-6,1,100,Lasso,85/15,0.33686154055506967,2.3578772188723476
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Lasso,85/15,0.6035747749484035,0.7048672577384358
Rg w/no norm,No regr out,All,ESM-6,1,100,Kernel Ridge,85/15,0.6181432875838437,1.7892428608025723
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Kernel Ridge,85/15,0.6014081789429644,0.7067908003866666
Rg w/no norm,No regr out,All,ESM-6,1,100,GPR,85/15,-0.4430280692395463,3.4782153540401053
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,GPR,85/15,-9.750149516857892,3.6705737034632424
Rg w/no norm,No regr out,All,ESM-6,1,100,Linear,90/10,-15.059331517815508,5.000304415419829
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Linear,90/10,0.017450434224329014,1.033293988855624
