Normalization,Regressing out,Points,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.5,buffer regr out,All,-1,Ridge,85/15,0.0854944581330624,0.21077196926710878
Rg norm w/0.5,buffer regr out,All,-1,Lasso,85/15,-0.1602938743991344,0.22686638167303882
Rg norm w/0.5,buffer regr out,All,-1,Kernel Ridge,85/15,0.0618361804266749,0.19523595913181663
Rg norm w/0.5,buffer regr out,All,-1,GPR,85/15,0.0681414923634441,0.16870415106035133
Rg norm w/0.5,buffer regr out,All,-1,Linear,90/10,-5687387918.277508,5228.736781633159
Rg norm w/0.5,buffer regr out,All,-1,Ridge,90/10,0.230155463226501,0.15248040657582032
Rg norm w/0.5,buffer regr out,All,-1,Lasso,90/10,-0.1326880062583628,0.16177073012061743
Rg norm w/0.5,buffer regr out,All,-1,Kernel Ridge,90/10,0.023337360832368,0.15504134430325522
Rg norm w/0.5,buffer regr out,All,-1,GPR,90/10,0.011703485599156,0.15600949090507582
Rg norm w/0.418,buffer regr out,All,-1,Linear,80/20,-20683867.301674787,1162.3238169361007
Rg norm w/0.418,buffer regr out,All,-1,Ridge,80/20,-0.2349187106941821,0.2846508147416145
Rg norm w/0.418,buffer regr out,All,-1,Lasso,80/20,-0.3576476827298167,0.2935803760761
Rg norm w/0.418,buffer regr out,All,-1,Kernel Ridge,80/20,0.1786711344352176,0.2568479255797155
Rg norm w/0.418,buffer regr out,All,-1,GPR,80/20,0.2255983419146328,0.2219756547034198
Rg norm w/0.418,buffer regr out,All,-1,Linear,85/15,-20977691.25399344,2940.8756636404855
Rg norm w/0.418,buffer regr out,All,-1,Ridge,85/15,-0.1853184472407625,0.31482133400833484
Rg norm w/0.418,buffer regr out,All,-1,Lasso,85/15,-0.2985209788983469,0.33520045590876735
Rg norm w/0.418,buffer regr out,All,-1,Kernel Ridge,85/15,0.0738068139091769,0.2867391725739687
Rg norm w/0.418,buffer regr out,All,-1,GPR,85/15,0.0713219615822052,0.24613474910944494
Rg norm w/0.418,buffer regr out,All,-1,Linear,90/10,-2269456779.794254,4885.296832195521
Rg norm w/0.418,buffer regr out,All,-1,Ridge,90/10,0.1534191230658727,0.22440784946645334
Rg norm w/0.418,buffer regr out,All,-1,Lasso,90/10,-0.2286384838725284,0.2418436360856381
Rg norm w/0.418,buffer regr out,All,-1,Kernel Ridge,90/10,0.0194727141338657,0.22282423079317176
Rg norm w/0.418,buffer regr out,All,-1,GPR,90/10,-0.0074913504544467,0.22338522220546814
Rg w/no norm,expr pH only regr out,All,-1,Linear,80/20,-0.7832131576036985,68555.8091590945
Rg w/no norm,expr pH only regr out,All,-1,Ridge,80/20,0.3373554870131301,2.608725744360017
Rg w/no norm,expr pH only regr out,All,-1,Lasso,80/20,0.3068924045184594,2.605732683183038
Rg w/no norm,expr pH only regr out,All,-1,Kernel Ridge,80/20,0.3915216684956293,2.6580484323587985
Rg w/no norm,expr pH only regr out,All,-1,GPR,80/20,0.0205427717399748,2.8981199171763743
Rg w/no norm,expr pH only regr out,All,-1,Linear,85/15,-0.8362274931754512,258611.79129060227
Rg w/no norm,expr pH only regr out,All,-1,Ridge,85/15,0.2922427339104748,2.7626258508710464
Rg w/no norm,expr pH only regr out,All,-1,Lasso,85/15,0.1889174764766288,2.7755223168733982
Rg w/no norm,expr pH only regr out,All,-1,Kernel Ridge,85/15,0.3419220321940817,2.833623561019054
Rg w/no norm,expr pH only regr out,All,-1,GPR,85/15,-0.0176951233700495,3.0935299870772575
Rg w/no norm,expr pH only regr out,All,-1,Linear,90/10,-50241298300.85516,457598.1238239119
Rg w/no norm,expr pH only regr out,All,-1,Ridge,90/10,0.1403216719696188,2.238131836373001
Rg w/no norm,expr pH only regr out,All,-1,Lasso,90/10,0.0948946878045171,2.3345921605883295
Rg w/no norm,expr pH only regr out,All,-1,Kernel Ridge,90/10,0.2952018784048619,2.188128595723386
Rg w/no norm,expr pH only regr out,All,-1,GPR,90/10,0.0913136021227946,2.9251266453098106
Rg norm w/0.427,expr pH only regr out,All,-1,Linear,80/20,-334.18593110903225,7905.9613021425885
Rg norm w/0.427,expr pH only regr out,All,-1,Ridge,80/20,0.2145946847937647,0.3110332977699352
Rg norm w/0.427,expr pH only regr out,All,-1,Lasso,80/20,0.3268791163620714,0.30542086915936206
Rg norm w/0.427,expr pH only regr out,All,-1,Kernel Ridge,80/20,0.3055450700044577,0.3110325225056478
Rg norm w/0.427,expr pH only regr out,All,-1,GPR,80/20,-0.1288312717220745,0.3156339858246063
Rg norm w/0.427,expr pH only regr out,All,-1,Linear,85/15,-306.2940303470261,29812.29300402165
Rg norm w/0.427,expr pH only regr out,All,-1,Ridge,85/15,0.2652475762310926,0.3366064183312523
Rg norm w/0.427,expr pH only regr out,All,-1,Lasso,85/15,0.3267241577922368,0.33237318341559435
Rg norm w/0.427,expr pH only regr out,All,-1,Kernel Ridge,85/15,0.38469994916184,0.33469124355652025
Rg norm w/0.427,expr pH only regr out,All,-1,GPR,85/15,-0.1416704535710276,0.34461423112316136
Rg norm w/0.427,expr pH only regr out,All,-1,Linear,90/10,-56794941349.20192,52748.62100428746
Rg norm w/0.427,expr pH only regr out,All,-1,Ridge,90/10,0.2302623698399741,0.2682582187648341
Rg norm w/0.427,expr pH only regr out,All,-1,Lasso,90/10,0.3144491169387062,0.2568011295849074
Rg norm w/0.427,expr pH only regr out,All,-1,Kernel Ridge,90/10,0.2763803822854712,0.26074371795583406
Rg norm w/0.427,expr pH only regr out,All,-1,GPR,90/10,-0.0681050746234199,0.3267543975757806
Rg norm w/0.5,expr pH only regr out,All,-1,Linear,80/20,-185.36138540056908,8108.466642936789
Rg norm w/0.5,expr pH only regr out,All,-1,Ridge,80/20,0.267840273583686,0.247842551115889
Rg norm w/0.5,expr pH only regr out,All,-1,Lasso,80/20,0.3110683287058012,0.24991875529763252
Rg norm w/0.5,expr pH only regr out,All,-1,Kernel Ridge,80/20,0.2807302307388523,0.2543397933830101
Rg norm w/0.5,expr pH only regr out,All,-1,GPR,80/20,-0.2179633421014843,0.28507795457886875
