Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Kernel Ridge,85/15,0.20185403772966148,0.08587285925313107
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,GPR,85/15,0.13232751570039192,0.08953496655833384
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Linear,90/10,-0.4871418638174376,0.11064318303693593
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Ridge,90/10,-0.4077820629014124,0.10765053072379266
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Lasso,90/10,-0.21148103857452005,0.09986349749270697
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,Kernel Ridge,90/10,0.42538572771273064,0.06877596076479288
Rg norm w/0.427,pH regr out,All,ProtBERT,high,10,GPR,90/10,0.453543166739097,0.06706970437445389
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Linear,80/20,-0.20900290913981956,0.10242306460406014
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Ridge,80/20,-0.09716273518748864,0.0975707442120117
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Lasso,80/20,-0.09933923845567527,0.09766747454292025
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,80/20,-0.18688406329920326,0.10148181886929689
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,GPR,80/20,-0.14738939557846975,0.09977908319129282
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Linear,85/15,-0.05482444787344831,0.08879151811198165
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Ridge,85/15,-0.036317927589302856,0.08800916356998419
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Lasso,85/15,-0.007010769743531986,0.08675578534658106
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,85/15,-0.16839857384251333,0.09344948170514955
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,GPR,85/15,-0.09683093099860152,0.09054223955172046
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Linear,90/10,-0.11780048571418944,0.08857859662078454
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Ridge,90/10,-0.10783258570147414,0.08818276577949781
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Lasso,90/10,-0.08864623083650525,0.08741581983380703
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,Kernel Ridge,90/10,-0.036096459086706556,0.08527991191056788
Rg norm w/0.427,pH regr out,Inliers,ProtBERT,high,10,GPR,90/10,0.10963257943896887,0.07905535232268489
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Linear,80/20,-0.8714070541538341,0.1003347855545718
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Ridge,80/20,-0.7689732810770888,0.09755017039725776
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Lasso,80/20,-0.4321599039601518,0.08777344637652063
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Kernel Ridge,80/20,0.2816971705782073,0.06216145684866903
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,GPR,80/20,0.12193102299246139,0.06872768450436184
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Linear,85/15,-0.9690500125960553,0.0913619534226907
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Ridge,85/15,-0.87844018160476,0.08923509451891923
Rg norm w/0.5,pH regr out,All,ProtBERT,high,10,Lasso,85/15,-0.43117807613069803,0.0778903832169572
