Normalization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,Inliers,ESM-6,1,104,Linear,80/20,0.3978690424740018,1.0950920472173193
Rg w/no norm,No regr out,Inliers,ESM-6,1,104,Ridge,80/20,0.5219402763195848,0.9757672214760597
Rg w/no norm,No regr out,Inliers,ESM-6,1,104,Lasso,80/20,0.4965477538730213,1.0013462789180536
Rg w/no norm,No regr out,Inliers,ESM-6,1,104,Kernel Ridge,80/20,0.4921988229145311,1.0056619035555179
Rg w/no norm,No regr out,Inliers,ESM-6,1,104,GPR,80/20,0.5169719944659437,0.9808244934402376
Rg w/no norm,No regr out,Inliers,ESM-6,1,110,Linear,85/15,0.3163263767276685,1.2316363665916232
Rg w/no norm,No regr out,Inliers,ESM-6,1,110,Ridge,85/15,0.5448046691347403,1.004979009154745
Rg w/no norm,No regr out,Inliers,ESM-6,1,110,Lasso,85/15,0.5005140037900258,1.0527366671561975
Rg w/no norm,No regr out,Inliers,ESM-6,1,110,Kernel Ridge,85/15,0.49296935078511195,1.060657574509348
Rg w/no norm,No regr out,Inliers,ESM-6,1,110,GPR,85/15,0.5285354410069247,1.0227809189233574
Rg w/no norm,No regr out,Inliers,ESM-6,1,116,Linear,90/10,0.07320914129100986,1.4977806849740285
Rg w/no norm,No regr out,Inliers,ESM-6,1,116,Ridge,90/10,0.42822401624029993,1.1764414285787177
Rg w/no norm,No regr out,Inliers,ESM-6,1,116,Lasso,90/10,0.5020361526425509,1.0978835092724017
Rg w/no norm,No regr out,Inliers,ESM-6,1,116,Kernel Ridge,90/10,0.4422073135522496,1.1619669159505048
Rg w/no norm,No regr out,Inliers,ESM-6,1,116,GPR,90/10,0.5087290830330076,1.09048044593142
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Linear,80/20,0.3774892057820267,1.1134701786645678
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Ridge,80/20,0.5213384992975403,0.9763811715655996
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Lasso,80/20,0.4965477538730213,1.0013462789180536
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Kernel Ridge,80/20,0.4901550526542756,1.0076836377277818
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,GPR,80/20,0.5160072761010885,0.9818034712710128
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Linear,85/15,0.31610585137065883,1.231834988522749
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Ridge,85/15,0.5434363600078183,1.0064883503206354
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Lasso,85/15,0.5005140037900258,1.0527366671561975
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Kernel Ridge,85/15,0.4891897855445625,1.0646034715318082
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,GPR,85/15,0.5267070480968394,1.0247622299151655
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Linear,90/10,0.16499298199126278,1.4216818459850893
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Ridge,90/10,0.4271179410510265,1.1775787656009864
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Lasso,90/10,0.5020361526425509,1.0978835092724017
Rg w/no norm,No regr out,Inliers,ESM-6,1,100,Kernel Ridge,90/10,0.44224587528823145,1.1619267502787742
